train_loss,val_loss,train_acc,val_acc
"0.9121734069913283
","0.8849220275878906
","0.6366535156461114
","0.5946264303343056
"
"0.8853132281633014
","0.8708706498146057
","0.6578122466627033
","0.633497868521427
"
"0.8745060017551789
","0.8950788974761963
","0.6686213046532995
","0.5881759030738165
"
"0.8764557177934273
","0.8498643636703491
","0.6665405609901097
","0.730984967466906
"
"0.8731718264882168
","0.8510478734970093
","0.6703237312868183
","0.6440430783037918
"
"0.8846883253748917
","0.8787376880645752
","0.6561098200291845
","0.7502804577069778
"
"0.8705312979064787
","0.857021689414978
","0.6668378100848511
","0.6711913843392416
"
"0.8658908579482624
","0.9107858538627625
","0.6658379722207209
","0.7583576396679381
"
"0.8811090470700433
","0.8684009313583374
","0.6551370048100308
","0.6234574826116221
"
"0.8973830065933143
","0.8699548840522766
","0.6399502783332432
","0.7006394435719093
"
"0.8901333273123943
","0.8738981485366821
","0.6538128952061828
","0.6157168498990352
"
"0.8782725309169802
","0.8570072054862976
","0.6567313408636437
","0.6214942786627776
"
"0.8774789590510343
","0.8857018351554871
","0.664513862616873
","0.7567870765088625
"
"0.8803330527468836
","0.8398457765579224
","0.6562449332540669
","0.7209445815571012
"
"0.8698275574914689
","0.8949523568153381
","0.6718099767605253
","0.5535113304913619
"
"0.8779417148365986
","0.8560900092124939
","0.6637031832675783
","0.719710567646399
"
"0.8615812839627015
","0.8467644453048706
","0.678187320974977
","0.7333408122055194
"
"0.8565687474280327
","0.8632098436355591
","0.6870237258822893
","0.6104442450078528
"
"0.8595900765201346
","0.8452891111373901
","0.6841863481597579
","0.6519519856405654
"
